university,year,coord,country,latitude,longitude
Universitas Istropolitana,1467,Point(17.1064 48.1425),Slovakia,48.1425,17.1064
University of Ingolstadt,1472,Point(11.706666666 49.273888888),Germany,49.273888888,11.706666666
Ludwig-Maximilians-Universität München,1472,Point(11.580277777 48.150833333),Germany,48.150833333,11.580277777
Trier University,1473,Point(6.687777777 49.7475),Germany,49.7475,6.687777777
Uppsala University,1477,Point(17.628888888 59.8575),Sweden,59.8575,17.628888888
Johannes Gutenberg University Mainz,1477,Point(8.241666666 49.993055555),Germany,49.993055555,8.241666666
University of Tübingen,1477,Point(9.058888888 48.525),Germany,48.525,9.058888888
University of Copenhagen,1479,Point(12.5725 55.679722222),Denmark,55.679722222,12.5725
University of Genoa,1481,Point(8.9266209 44.4148535),Italy,44.4148535,8.9266209
Estudi General Lul·lià,1483,Point(2.648861111 39.568219444),Spain,39.568219444,2.648861111
Universidad de San Antonio de Porta Coeli,1489,Point(-2.64527778 41.06694444),Spain,41.06694444,-2.64527778
Universidad de San Antonio de Porta Coeli,1489,Point(-2.64527778 41.06694444),Crown of Castile,41.06694444,-2.64527778
University of Aberdeen,1495,Point(-2.1 57.165),United Kingdom,57.165,-2.1
University of Santiago de Compostela,1495,Point(-8.5449726 42.8885225),Spain,42.8885225,-8.5449726
Manzana Fundacional Cisneriana de la Universidad de Alcalá,1499,Point(-3.363124 40.482907),Spain,40.482907,-3.363124
University of Valencia,1499,Point(-0.3590873 39.4790511),Spain,39.4790511,-0.3590873
University of Wittenberg,1502,Point(12.650278 51.864722),Germany,51.864722,12.650278
University of Seville,1505,Point(-5.9912307 37.3807579),Spain,37.3807579,-5.9912307
Alma Mater Viadrina,1506,Point(14.54886111 52.349),Margraviate of Brandenburg,52.349,14.54886111
Alma Mater Viadrina,1506,Point(14.54886111 52.349),Prussia,52.349,14.54886111
Alasmarya Islamic University,1506,Point(14.5672 32.4681),Libya,32.4681,14.5672
University of Urbino,1506,Point(12.637 43.722),Italy,43.722,12.637
University of Marburg,1527,Point(8.773611111 50.810833333),Germany,50.810833333,8.773611111
University of Granada,1531,Point(-3.600944444 37.184888888),Spain,37.184888888,-3.600944444
University of Lausanne,1537,Point(6.579444444 46.5225),Switzerland,46.5225,6.579444444
Debrecen Reformed Theological University,1538,Point(21.62638889 47.53416667),Hungary,47.53416667,21.62638889
Universidad Santo Tomás de Aquino,1538,Point(-69.917 18.462),Dominican Republic,18.462,-69.917
University of Baeza,1538,Point(-3.468777777 37.991777777),Spain,37.991777777,-3.468777777
University of Debrecen,1538,Point(21.621388888 47.553888888),Hungary,47.553888888,21.621388888
Autonomous University of Santo Domingo,1538,Point(-69.917894444 18.460766666),Dominican Republic,18.460766666,-69.917894444
Universidad Michoacana de San Nicolás de Hidalgo,1540,Point(-101.207 19.6914),Mexico,19.6914,-101.207
University of Zaragoza,1542,Point(-0.9015065 41.6420639),Spain,41.6420639,-0.9015065
University of Königsberg,1544,Point(20.51 54.713888888),Soviet Union,54.713888888,20.51
University of Königsberg,1544,Point(20.51 54.713888888),German Reich,54.713888888,20.51
University of Königsberg,1544,Point(20.51 54.713888888),Kingdom of Prussia,54.713888888,20.51
University of Oñati,1545,Point(-2.415359592 43.033968269),Spain,43.033968269,-2.415359592
Trinity College,1546,Point(0.116944444 52.206944444),United Kingdom,52.206944444,0.116944444
University of Messina,1548,Point(15.54611 38.19241),Italy,38.19241,15.54611
University of Osuna,1548,Point(-5.099616142 37.237745246),Spain,37.237745246,-5.099616142
